UID,Author,Title,Place,Publisher,Date,CornellHoldings,BIBID,OCLCID,WorkID
"31E0DA4B969EB1EEB61DCC1DFEE631B6","Abbe, Ernst Carl, 1840-1905","Gesammelte Abhandlungen","Jena","G. Fischer","1904-1906","ANNX arW50334","5508160","0",""
"0AB7531020693018F54B4394437EB949","Abbe, Ernst Carl, 1840-1905","Briefe an seine Jugend- und Studienfreunde Carl Martin und Harald Schutz, 1858-1865","Berlin","Akademie-Verlag","1986","MATH QC 16 A2 A4 1986","9395244","0",""
"0EE8131C328B6B62D52B03BD7608431B","Abel, Niels Henrik, 1802-1829","Oeuvres completes de N. H. Abel, mathematicien","Christiania","C. Grondahl","1839","RARE QA 3 A14 1839","2168511","0",""
"378D019515056E77A3A74B9FA501C887","Abel, Niels Henrik, 1802-1829","Oeuvres completes ","Christiania","C. Grondahl","1881","RARE QA 3 A14 1881","609219","0",""
"6DA6E1E0836908E3277699DE4B400F71","Abu Kamil Shuja ibn Aslam, 850-930","Algebra of Abu Kamil: Kitab fi al-Jabr wa'l-mugabala ","Madison","University of Wisconsin Press","1966","MATH QA 32 A16 1966","567815","0",""
"5F80FC95C3B00C8E44B57EDDFEB8227D","Adams, John Couch,1819-1892","Scientific papers of John Couch Adams","Cambridge","University Press","1896-1900","RARE QB 3 A21","6718938","0",""
"8CA9FEA134254F3177E959D3EAEC7ABF","Adams, John Frank, 1930-1997","Selected works of J. Frank Adams","Cambridge","Cambridge University Press","1992","MATH QA 612 A21 S46 1992","2185097","0",""
"01E0F6F3B75F2DC8A3E510E877FCD52C","Ahlfors, Lars Valerian, 1907-1996","Lars Valerian Ahlfors: collected papers ","Boston","Birkhauser","1982","MATH QA 3 A28 1982","927995","0",""
"E17775AC851D1C4692D9E1031039E8F3","Ajima, Naonabu, 1739-1798","Ajima Naonobu zenshu","Tokyo","Fuji Tanki Daigaku Shuppanbu, Showa 41","1966","","0","0",""
"59D15F06ED813EF8AB1D3EB98CE7AFE1","Akahira, Masafumi, 1945-","Joint statistical papers of Akahira and Takeuchi ","Singapore","World Scientific","2003","MATH QA 276 A12 A43 2003 ","4958839","0",""
"FFACAEFDBA56CBA91DEF195E74819EE2","Akaike, Hirotsugu, 1927-2009","Selected papers of Hirotugu Akaike ","New York","Springer-Verlag","1998","MATH HG 355 H87x 1997","3136503","0",""
"26744ABB5ADB10F7CA049C1A22350C91","Akivis, Maks Aizikovich, 1923-","Maks A. Akivis selected papers","Lemgo ","Heldermann","2008","MATH QA 641 A586 2008","6206221","0",""
"D27FA29B36F160AFF905FAFAE14ED0E7","Albanese, Giacomo, 1890-1948","Collected papers of Giacomo Albanese","Kingston, Ontario","Queens's University","1996","MATH QA 3 A32 1996","2886142","0",""
"8735B219B86A0503A45A352B51F4F974","Albert, Abraham Adrian, 1905-1972","Collected mathematical papers","Providence, R.I.","American Mathematical Society","1993","MATH QA 3 A3582x 1992","2198821","0",""
"2D92B26A1AEB5E6F080C5811C036F793","Aleksandrov, Aleksandr Danilovich, 1912-1999","Selected works : A.D. Alexandrov ","Amsterdam","Gordon and Breach Publishers","1996","MATH QA 3 A358412 1996 ","5664912","0",""
"D2FB5E420AF5360CCEE010D2A75FA630","Aleksandrov, Aleksandr Danilovich, 1912-1999","Intrinsic geometry of convex surfaces ","Boca Raton","Chapman & Hall/CRC","2006","MATH QA 3 A358413 2006 ","2904741","0",""
